Mobile,0,1,2,3,4,5,6,7,8,9,Sentiment
"Redmi 9A (Sea Blue, 2Gb Ram, 32Gb Storage)",Worst experience by the executive,Don't buy this phone,One of the good choice for low budget phone,Made in China product,Made in China....Not made in india...returning the product,Good but not up to the mark,Stop🔴🔴🔴,Excellent phone,Lovely love you,Screen resolution is not good & worst camera ever.. rest so so..,3
Apple iPhone 11 (64GB),Keep away from Amazon when it's Apple.,Do not buy iphone or expensive product from Amazom,Solid premium phone from Apple,First Time iPhone User Review :-),Worst Experience Ever.!,Don’t buy it from this seller,iPhone 11,Defective Iphone 11,Best iPhone ever | Super Night Mode | Super Camera | Yellow,SELLER SENT ACTIVATED AND REPACKED IPHONE,3
"Redmi Note 9 (Pebble Grey, 4GB RAM 64GB Storage)",Dont buy.. after 10 to.15 mins gaming phone lagging too much,Overall a good phone 👌,Not good,Just Read before buying. My opinion,Worst,Loll !! I am the first to review this 🤩👇,Not good like other phones of xiaomi.,Everything nice but only body vibration problem due to plastic back,Pathetic service by Amazon and worst quality mobile,Good phone..,2
"Redmi 9A (Midnight Black, 2Gb Ram, 32Gb Storage)",Poor,Dont buy it as lower model is good then this,Best product at low price,BUDGET WORTHY PHONE,Wow,Fabulous....!,Best battery best display,Not a purchase this product,Good,Winner of the caparison by price is the realme.,5
"Samsung Galaxy M21 (Midnight Blue, 4GB RAM, 64GB Storage)",Value For Money !! Go for it,❤️❤️❤️❤️,Best Budget Phone In India,Battery life is not upto mark,Feeling cheated,Worst product at 15000 Rs. Price,"More than 5star,best budget mobile in India.",Worth it (Non gamer review),Very Nice,Samsung galaxy m21,3
"OnePlus Nord 5G (Blue Marble, 8GB RAM, 128GB Storage)",A good daily driver.,Bad bad camera,The original segment of One Plus,*Read before you buy!!*,Disappointing,Near to mid range Perfection,Totally dissatisfied. No AR support.,Great price!,Bad front camera,Good phone,1
"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)",Samsung m31 all rounder best mobile.,Best Value for Money in this Range. Go for it without any doubt.,Poor camera,"False ads, poor camera quality, inefficient battery management",Inferior quality and built,Serious Issue,Not good at alll,Samsung it's not fair .,Worst phone,Bad Product by Samsung,3
"Samsung Galaxy M31s (Mirage Blue, 6GB RAM, 128GB Storage)",HONEST M31s. HONEST PERFORMANCE. HONEST PRICE.,Jack of all trades!!,The phone got dead just after the initial setup,Disappointed completely 😑,Strictly Satisfactory. Definitely not a flagship experience.,Screen blacked out in 2 days,Best Buy with few compromise,hanging too slow Don't buy don't disappoint be careful. don't trust Amazon,Best mid range device to leave Chinese devices..,Best buy for the price!,5
"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",A good daily driver.,Bad bad camera,The original segment of One Plus,*Read before you buy!!*,Disappointing,Near to mid range Perfection,Totally dissatisfied. No AR support.,Great price!,Bad front camera,Good phone,2
"Redmi Note 9 Pro (Aurora Blue, 4GB RAM, 64GB Storage)",PLZZ read this before Wasting your money.,osm mobile phone,Superb Phn and you can go for it.,Good But Not As Expected,Faulty product delivered by Amazon,Gaming beast,Not worthy nor upto exp from mi,Very nice protect super,Waste of money,Looks premium but service isn't good,3
"Samsung Galaxy M51 (Electric Blue, 6GB RAM, 128GB Storage)",Average Phone. Critical review for Samsung so that they develop better features,"Not recommend, if you want waste your money then purchase",Best Smart Phone under 25000/-,Pls don't buy.. cheap quality feeling waste of 25k money,One of the best phones at affordable price...,Don't buy this product. Even the most basic things are faulty,MONSTER FOR ALL CHINESE MOBILES,Average Phone at Over Price with some bugs,Superior Phone from samsung at budget rate.,Issues with camera. Unhappy with samsung.,4
"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)",DONT BUY THIS MOBILE .,"Redmi 9 hhoo, 9, 9🤩, 9, changed mind",Awesome,Value for money,Best in budget,Think it before buy,Average Buy,Everything is fine except camera which only works good in sun light,best product,Looking mobile best feature,5
"Redmi Note 9 (Aqua Green, 4GB RAM, 64GB Storage)",Dont buy.. after 10 to.15 mins gaming phone lagging too much,Overall a good phone 👌,Not good,Just Read before buying. My opinion,Worst,Loll !! I am the first to review this 🤩👇,Not good like other phones of xiaomi.,Everything nice but only body vibration problem due to plastic back,Pathetic service by Amazon and worst quality mobile,Good phone..,2
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)",PLZZ read this before Wasting your money.,osm mobile phone,Superb Phn and you can go for it.,Good But Not As Expected,Faulty product delivered by Amazon,Gaming beast,Not worthy nor upto exp from mi,Very nice protect super,Waste of money,Looks premium but service isn't good,3
Apple iPhone 11 (128GB),Keep away from Amazon when it's Apple.,Do not buy iphone or expensive product from Amazom,Solid premium phone from Apple,First Time iPhone User Review :-),Worst Experience Ever.!,Don’t buy it from this seller,iPhone 11,Defective Iphone 11,Best iPhone ever | Super Night Mode | Super Camera | Yellow,SELLER SENT ACTIVATED AND REPACKED IPHONE,3
"Samsung Galaxy M21 (Raven Black, 4GB RAM, 64GB Storage)",Value For Money !! Go for it,❤️❤️❤️❤️,Best Budget Phone In India,Battery life is not upto mark,Feeling cheated,Worst product at 15000 Rs. Price,"More than 5star,best budget mobile in India.",Worth it (Non gamer review),Very Nice,Samsung galaxy m21,3
"Samsung Galaxy M31 Prime Edition (Ocean Blue, 6GB RAM, 128GB Storage)",Samsung m31 all rounder best mobile.,Best Value for Money in this Range. Go for it without any doubt.,Poor camera,"False ads, poor camera quality, inefficient battery management",Inferior quality and built,Serious Issue,Not good at alll,Samsung it's not fair .,Worst phone,Bad Product by Samsung,3
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage)",DONT BUY THIS MOBILE .,"Redmi 9 hhoo, 9, 9🤩, 9, changed mind",Awesome,Value for money,Best in budget,Think it before buy,Average Buy,Everything is fine except camera which only works good in sun light,best product,Looking mobile best feature,5
"Samsung Galaxy M31s (Mirage Black, 6GB RAM, 128GB Storage)",HONEST M31s. HONEST PERFORMANCE. HONEST PRICE.,Jack of all trades!!,The phone got dead just after the initial setup,Disappointed completely 😑,Strictly Satisfactory. Definitely not a flagship experience.,Screen blacked out in 2 days,Best Buy with few compromise,hanging too slow Don't buy don't disappoint be careful. don't trust Amazon,Best mid range device to leave Chinese devices..,Best buy for the price!,5
"Redmi 9 Prime (Space Blue, 4GB RAM, 64GB Storage)",Scam,Oscem,redmi 9 prime,Best in class @9999,Good,🤔prime.. prime🤭🤭🤭ᴄʰᵃⁿᵍᵉᵈ🙄🙄,No to Redmi,Binod.,Not a Great Phone at 12000,Amazon didn't gave buy now option,3
"Redmi 9A (Nature Green, 2Gb Ram, 32Gb Storage)",Amezing One,Value-For-Money & Recommended for a normal user,Tiny size Overpriced Mobile,Points to be noted,Cons and Pros,Best phone under 7k no one can compitate,Best phone for PARENTS. 5/5 for Rs.6800,Good,Value for Money. Well done Redmi.,Awesome I love it.⭐⭐⭐⭐⭐,3
"Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)",Samsung m31 all rounder best mobile.,Best Value for Money in this Range. Go for it without any doubt.,Poor camera,"False ads, poor camera quality, inefficient battery management",Inferior quality and built,Serious Issue,Not good at alll,Samsung it's not fair .,Worst phone,Bad Product by Samsung,3
"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 64GB Storage)",Samsung m31 all rounder best mobile.,Best Value for Money in this Range. Go for it without any doubt.,Poor camera,"False ads, poor camera quality, inefficient battery management",Inferior quality and built,Serious Issue,Not good at alll,Samsung it's not fair .,Worst phone,Bad Product by Samsung,3
"Redmi 8A Dual (Sea Blue, 2GB RAM, 32GB Storage)",Pray you don't receive a defective product,Best phone,Must to have redmi phone,Bad,Redmi is the 👍💯,Before buying you must know the difference between 7k mobile and 10k to 15K Mobiles,Worst phone with ghost touch,Not recommended.,Best budget smartphone,Little bit overheated,3
"Redmi Note 9 (Scarlet Red, 4GB RAM, 64GB Storage)",Dont buy.. after 10 to.15 mins gaming phone lagging too much,Overall a good phone 👌,Not good,Just Read before buying. My opinion,Worst,Loll !! I am the first to review this 🤩👇,Not good like other phones of xiaomi.,Everything nice but only body vibration problem due to plastic back,Pathetic service by Amazon and worst quality mobile,Good phone..,2
"Samsung Galaxy M51 (Celestial Black, 6GB RAM, 128GB Storage)",Average Phone. Critical review for Samsung so that they develop better features,"Not recommend, if you want waste your money then purchase",Best Smart Phone under 25000/-,Pls don't buy.. cheap quality feeling waste of 25k money,One of the best phones at affordable price...,Don't buy this product. Even the most basic things are faulty,MONSTER FOR ALL CHINESE MOBILES,Average Phone at Over Price with some bugs,Superior Phone from samsung at budget rate.,Issues with camera. Unhappy with samsung.,4
"Samsung Galaxy M51 (Electric Blue, 8GB RAM, 128GB Storage)",Average Phone. Critical review for Samsung so that they develop better features,"Not recommend, if you want waste your money then purchase",Best Smart Phone under 25000/-,Pls don't buy.. cheap quality feeling waste of 25k money,One of the best phones at affordable price...,Don't buy this product. Even the most basic things are faulty,MONSTER FOR ALL CHINESE MOBILES,Average Phone at Over Price with some bugs,Superior Phone from samsung at budget rate.,Issues with camera. Unhappy with samsung.,4
"Samsung Galaxy M21 (Iceberg Blue, 4GB RAM, 64GB Storage)",Value For Money !! Go for it,❤️❤️❤️❤️,Best Budget Phone In India,Battery life is not upto mark,Feeling cheated,Worst product at 15000 Rs. Price,"More than 5star,best budget mobile in India.",Worth it (Non gamer review),Very Nice,Samsung galaxy m21,3
"Redmi 9 Prime (Mint Green, 4GB RAM, 64GB Storage)",Scam,Oscem,redmi 9 prime,Best in class @9999,Good,🤔prime.. prime🤭🤭🤭ᴄʰᵃⁿᵍᵉᵈ🙄🙄,No to Redmi,Binod.,Not a Great Phone at 12000,Amazon didn't gave buy now option,3
"Redmi 9 Prime (Matte Black, 4GB RAM, 64GB Storage)",Scam,Oscem,redmi 9 prime,Best in class @9999,Good,🤔prime.. prime🤭🤭🤭ᴄʰᵃⁿᵍᵉᵈ🙄🙄,No to Redmi,Binod.,Not a Great Phone at 12000,Amazon didn't gave buy now option,3
"Redmi 9 (Sporty Orange, 4GB RAM, 64GB Storage)",DONT BUY THIS MOBILE .,"Redmi 9 hhoo, 9, 9🤩, 9, changed mind",Awesome,Value for money,Best in budget,Think it before buy,Average Buy,Everything is fine except camera which only works good in sun light,best product,Looking mobile best feature,5
"Samsung Galaxy M21 (Midnight Blue, 6GB RAM, 128GB Storage)",Value For Money !! Go for it,❤️❤️❤️❤️,Best Budget Phone In India,Battery life is not upto mark,Feeling cheated,Worst product at 15000 Rs. Price,"More than 5star,best budget mobile in India.",Worth it (Non gamer review),Very Nice,Samsung galaxy m21,3
"Samsung Galaxy M01 (Blue, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange…",Very chipper quality,Most practical phone in this price...less radiation..Handy...,Like this phone,Perfect Size.,Good for average use and good option in no Chinese mobile,Best smart phone normal usage,Good Phone at 9k,Waste of money,Brand is Brand,Cheated by Amazon,2
"OnePlus Nord 5G (Gray Onyx, 6GB RAM, 64GB Storage)",Finally Settled for Average Performance and Battery life...,"6gb+64gb not worth buying, storage issues are there",Perfect phone for light to moderate usage,Love this phone from one plus,"Never a oneplus standard in terms of sale, and phone. Never expect such treatment from one plus.",Worst Oneplus phone ever,The worst phone I ever brought!,A complete package,Top notch in everything,Pretty much everything you could ask for,3
"Redmi Note 9 Pro Max (Aurora Blue, 6GB RAM, 64GB Storage)",Really amazing phone,No reason to buy Redmi Note 9 Pro Max,Worst performance... Waste of money.,Nyc looking smartphone,Wifi issue beware,It's a great phone!,Awesome Camera.,Not satisfied,Amazon is Best,Ear speak not working... Camera quality worst...,3
"OnePlus Nord 5G (Gray Ash, 12GB RAM, 256GB Storage)",A good daily driver.,Bad bad camera,The original segment of One Plus,*Read before you buy!!*,Disappointing,Near to mid range Perfection,Totally dissatisfied. No AR support.,Great price!,Bad front camera,Good phone,2
"Samsung Galaxy M01 (Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange…",Very chipper quality,Most practical phone in this price...less radiation..Handy...,Like this phone,Perfect Size.,Good for average use and good option in no Chinese mobile,Best smart phone normal usage,Good Phone at 9k,Waste of money,Brand is Brand,Cheated by Amazon,2
"Redmi 9 Prime (Sunrise Flare, 4GB RAM, 64GB Storage)",Scam,Oscem,redmi 9 prime,Best in class @9999,Good,🤔prime.. prime🤭🤭🤭ᴄʰᵃⁿᵍᵉᵈ🙄🙄,No to Redmi,Binod.,Not a Great Phone at 12000,Amazon didn't gave buy now option,3
"Samsung Galaxy M51 (Celestial Black, 8GB RAM, 128GB Storage)",Average Phone. Critical review for Samsung so that they develop better features,"Not recommend, if you want waste your money then purchase",Best Smart Phone under 25000/-,Pls don't buy.. cheap quality feeling waste of 25k money,One of the best phones at affordable price...,Don't buy this product. Even the most basic things are faulty,MONSTER FOR ALL CHINESE MOBILES,Average Phone at Over Price with some bugs,Superior Phone from samsung at budget rate.,Issues with camera. Unhappy with samsung.,4
"Samsung Galaxy M31s (Mirage Blue, 8GB RAM, 128GB Storage)",HONEST M31s. HONEST PERFORMANCE. HONEST PRICE.,Jack of all trades!!,The phone got dead just after the initial setup,Disappointed completely 😑,Strictly Satisfactory. Definitely not a flagship experience.,Screen blacked out in 2 days,Best Buy with few compromise,hanging too slow Don't buy don't disappoint be careful. don't trust Amazon,Best mid range device to leave Chinese devices..,Best buy for the price!,5
"Redmi Note 9 Pro Max (Interstellar Black, 6GB RAM, 128GB Storage)",Really amazing phone,No reason to buy Redmi Note 9 Pro Max,Worst performance... Waste of money.,Nyc looking smartphone,Wifi issue beware,It's a great phone!,Awesome Camera.,Not satisfied,Amazon is Best,Ear speak not working... Camera quality worst...,3
"Samsung Galaxy M31 Prime Edition (Iceberg Blue, 6GB RAM, 128GB Storage)",Samsung m31 all rounder best mobile.,Best Value for Money in this Range. Go for it without any doubt.,Poor camera,"False ads, poor camera quality, inefficient battery management",Inferior quality and built,Serious Issue,Not good at alll,Samsung it's not fair .,Worst phone,Bad Product by Samsung,3
"Redmi Note 9 (Arctic White, 4GB RAM, 64GB Storage)",Dont buy.. after 10 to.15 mins gaming phone lagging too much,Overall a good phone 👌,Not good,Just Read before buying. My opinion,Worst,Loll !! I am the first to review this 🤩👇,Not good like other phones of xiaomi.,Everything nice but only body vibration problem due to plastic back,Pathetic service by Amazon and worst quality mobile,Good phone..,2
"Redmi Note 9 Pro Max (Interstellar Black, 6GB RAM, 64GB Storage)",Really amazing phone,No reason to buy Redmi Note 9 Pro Max,Worst performance... Waste of money.,Nyc looking smartphone,Wifi issue beware,It's a great phone!,Awesome Camera.,Not satisfied,Amazon is Best,Ear speak not working... Camera quality worst...,3
