Mobile,0,1,2,3,4,5,6,7,8,9,Sentiment
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange…",#samsunghitsbullseye,Best smartphone at ₹5500,sell more this product,Don't buy this phone,Phone went dead within 10 minutes of delivery,Very good smart phone,"Samsung Galaxy M01 Core (Blue, 2GB RAM, 32GB)-A Cute Phone with Latest Android 10 and Crisp Display",Don't expect much.....,Go for any phone but not this if u don't want to regret wasting ur money,5 Star Phone In this Price of 6499 .,3
"Samsung Galaxy M21 (Raven Black, 6GB RAM, 128GB Storage)",Value For Money !! Go for it,❤️❤️❤️❤️,Best Budget Phone In India,Battery life is not upto mark,Feeling cheated,Worst product at 15000 Rs. Price,"More than 5star,best budget mobile in India.",Worth it (Non gamer review),Very Nice,Samsung galaxy m21,3
"Samsung Galaxy M31 (Space Black, 6GB RAM, 64GB Storage)",Samsung m31 all rounder best mobile.,Best Value for Money in this Range. Go for it without any doubt.,Poor camera,"False ads, poor camera quality, inefficient battery management",Inferior quality and built,Serious Issue,Not good at alll,Samsung it's not fair .,Worst phone,Bad Product by Samsung,3
"Redmi Note 8 (Neptune Blue, 4GB RAM, 64GB Storage)",Superb ...😘,Disappointing,Worth the price....A must buy for everyone with budget of around 10k-13k,moonlight is love,Amazing phone,Excellent phone under 10K,18w fast charger is best inside the box.,Nice product,⚠️ Don't buy! Good on paper but too bad in performance ⚠️,Excellent,2
"Redmi Note 9 Pro Max (Aurora Blue, 8GB RAM, 128GB Storage)",Really amazing phone,No reason to buy Redmi Note 9 Pro Max,Worst performance... Waste of money.,Nyc looking smartphone,Wifi issue beware,It's a great phone!,Awesome Camera.,Not satisfied,Amazon is Best,Ear speak not working... Camera quality worst...,3
"Samsung Galaxy M31s (Mirage Black, 8GB RAM, 128GB Storage)",HONEST M31s. HONEST PERFORMANCE. HONEST PRICE.,Jack of all trades!!,The phone got dead just after the initial setup,Disappointed completely 😑,Strictly Satisfactory. Definitely not a flagship experience.,Screen blacked out in 2 days,Best Buy with few compromise,hanging too slow Don't buy don't disappoint be careful. don't trust Amazon,Best mid range device to leave Chinese devices..,Best buy for the price!,5
"OnePlus Nord 5G (Blue Marble, 12GB RAM, 256GB Storage)",A good daily driver.,Bad bad camera,The original segment of One Plus,*Read before you buy!!*,Disappointing,Near to mid range Perfection,Totally dissatisfied. No AR support.,Great price!,Bad front camera,Good phone,1
"Redmi Note 9 Pro (Glacier White, 4GB RAM, 64GB Storage)",PLZZ read this before Wasting your money.,osm mobile phone,Superb Phn and you can go for it.,Good But Not As Expected,Faulty product delivered by Amazon,Gaming beast,Not worthy nor upto exp from mi,Very nice protect super,Waste of money,Looks premium but service isn't good,3
"Samsung Galaxy M31 Prime Edition (Space Black, 6GB RAM, 128GB Storage)",Samsung m31 all rounder best mobile.,Best Value for Money in this Range. Go for it without any doubt.,Poor camera,"False ads, poor camera quality, inefficient battery management",Inferior quality and built,Serious Issue,Not good at alll,Samsung it's not fair .,Worst phone,Bad Product by Samsung,3
"Redmi Note 9 Pro (Champagne Gold, 4GB RAM, 64GB Storage)",PLZZ read this before Wasting your money.,osm mobile phone,Superb Phn and you can go for it.,Good But Not As Expected,Faulty product delivered by Amazon,Gaming beast,Not worthy nor upto exp from mi,Very nice protect super,Waste of money,Looks premium but service isn't good,3
"Samsung Galaxy M31 (Ocean Blue, 8GB RAM, 128GB Storage)",Samsung m31 all rounder best mobile.,Best Value for Money in this Range. Go for it without any doubt.,Poor camera,"False ads, poor camera quality, inefficient battery management",Inferior quality and built,Serious Issue,Not good at alll,Samsung it's not fair .,Worst phone,Bad Product by Samsung,3
"Redmi Note 9 Pro Max (Interstellar Black, 8GB RAM, 128GB Storage)",Really amazing phone,No reason to buy Redmi Note 9 Pro Max,Worst performance... Waste of money.,Nyc looking smartphone,Wifi issue beware,It's a great phone!,Awesome Camera.,Not satisfied,Amazon is Best,Ear speak not working... Camera quality worst...,3
"Redmi 8A Dual (Sea Blue, 3GB RAM, 32GB Storage)",Pray you don't receive a defective product,Best phone,Must to have redmi phone,Bad,Redmi is the 👍💯,Before buying you must know the difference between 7k mobile and 10k to 15K Mobiles,Worst phone with ghost touch,Not recommended.,Best budget smartphone,Little bit overheated,3
"Redmi 9 Prime (Space Blue, 4GB RAM, 128GB Storage)",Scam,Oscem,redmi 9 prime,Best in class @9999,Good,🤔prime.. prime🤭🤭🤭ᴄʰᵃⁿᵍᵉᵈ🙄🙄,No to Redmi,Binod.,Not a Great Phone at 12000,Amazon didn't gave buy now option,3
"Redmi 9 (Sky Blue, 4GB RAM, 128GB Storage)",DONT BUY THIS MOBILE .,"Redmi 9 hhoo, 9, 9🤩, 9, changed mind",Awesome,Value for money,Best in budget,Think it before buy,Average Buy,Everything is fine except camera which only works good in sun light,best product,Looking mobile best feature,5
"Redmi 8A Dual (Sea Blue, 3GB RAM, 64GB Storage)",Pray you don't receive a defective product,Best phone,Must to have redmi phone,Bad,Redmi is the 👍💯,Before buying you must know the difference between 7k mobile and 10k to 15K Mobiles,Worst phone with ghost touch,Not recommended.,Best budget smartphone,Little bit overheated,3
OnePlus 8 (Glacial Green 6GB RAM+128GB Storage),Please read before buying,Great but always with some screen and body issues!,Delivers what they promised.! ;),Amazing Experience with Oneplus 8,Battery/Heating/Network issue,Poor Camera Quality.....Too Expensive,Heating Issue and Low Quality camera,Better phone but could have been the best,Do NOT buy this expecting a stellar camera,Shame on you Oneplus,4
"Redmi 8A Dual (Midnight Grey, 2GB RAM, 32GB Storage)",Pray you don't receive a defective product,Best phone,Must to have redmi phone,Bad,Redmi is the 👍💯,Before buying you must know the difference between 7k mobile and 10k to 15K Mobiles,Worst phone with ghost touch,Not recommended.,Best budget smartphone,Little bit overheated,3
"Samsung Galaxy M01 Core (Blue, 1GB RAM, 16GB Storage) with No Cost EMI/Additional Exchange…",#samsunghitsbullseye,Best smartphone at ₹5500,sell more this product,Don't buy this phone,Phone went dead within 10 minutes of delivery,Very good smart phone,"Samsung Galaxy M01 Core (Blue, 2GB RAM, 32GB)-A Cute Phone with Latest Android 10 and Crisp Display",Don't expect much.....,Go for any phone but not this if u don't want to regret wasting ur money,5 Star Phone In this Price of 6499 .,2
"OPPO A5 2020 (Dazzling White, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange…",Good opportunity for oppo lovers to upgrade,Best budget phone with all features,Good,Good Phone at this price range..by Oppo,Come and collect,Slow charging and hand free is not available.,Waste of money .,Not recommended,"Best with exchange, don't buy without exchange",Very nice,4
"Redmi 9 Prime (Mint Green, 4GB RAM, 128GB Storage)",Scam,Oscem,redmi 9 prime,Best in class @9999,Good,🤔prime.. prime🤭🤭🤭ᴄʰᵃⁿᵍᵉᵈ🙄🙄,No to Redmi,Binod.,Not a Great Phone at 12000,Amazon didn't gave buy now option,3
"Samsung Galaxy M21 (Iceberg Blue, 6GB RAM, 128GB Storage)",Value For Money !! Go for it,❤️❤️❤️❤️,Best Budget Phone In India,Battery life is not upto mark,Feeling cheated,Worst product at 15000 Rs. Price,"More than 5star,best budget mobile in India.",Worth it (Non gamer review),Very Nice,Samsung galaxy m21,3
"Redmi 8A Dual (Midnight Grey, 3GB RAM, 32GB Storage)",Pray you don't receive a defective product,Best phone,Must to have redmi phone,Bad,Redmi is the 👍💯,Before buying you must know the difference between 7k mobile and 10k to 15K Mobiles,Worst phone with ghost touch,Not recommended.,Best budget smartphone,Little bit overheated,3
"Redmi Note 9 (Pebble Grey, 4GB RAM 128GB Storage)",Dont buy.. after 10 to.15 mins gaming phone lagging too much,Overall a good phone 👌,Not good,Just Read before buying. My opinion,Worst,Loll !! I am the first to review this 🤩👇,Not good like other phones of xiaomi.,Everything nice but only body vibration problem due to plastic back,Pathetic service by Amazon and worst quality mobile,Good phone..,2
"Samsung Galaxy M01 Core (Black, 1GB RAM, 16GB Storage) with No Cost EMI/Additional Exchange…",#samsunghitsbullseye,Best smartphone at ₹5500,sell more this product,Don't buy this phone,Phone went dead within 10 minutes of delivery,Very good smart phone,"Samsung Galaxy M01 Core (Blue, 2GB RAM, 32GB)-A Cute Phone with Latest Android 10 and Crisp Display",Don't expect much.....,Go for any phone but not this if u don't want to regret wasting ur money,5 Star Phone In this Price of 6499 .,3
"Samsung Galaxy M01 Core (Blue, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange…",#samsunghitsbullseye,Best smartphone at ₹5500,sell more this product,Don't buy this phone,Phone went dead within 10 minutes of delivery,Very good smart phone,"Samsung Galaxy M01 Core (Blue, 2GB RAM, 32GB)-A Cute Phone with Latest Android 10 and Crisp Display",Don't expect much.....,Go for any phone but not this if u don't want to regret wasting ur money,5 Star Phone In this Price of 6499 .,2
"Redmi Note 9 Pro (Aurora Blue, 6GB RAM, 128GB Storage)",PLZZ read this before Wasting your money.,osm mobile phone,Superb Phn and you can go for it.,Good But Not As Expected,Faulty product delivered by Amazon,Gaming beast,Not worthy nor upto exp from mi,Very nice protect super,Waste of money,Looks premium but service isn't good,3
"OnePlus 7T (Glacier Blue, 8GB RAM, Fluid AMOLED Display, 256GB Storage, 3800mAH Battery)",Think and evaluate before you go for it,Treat to the eye,Best experience,"One Plus 7T - One Word, STUNNING!!",Please improve your build quality other wise india will fire you 😠,"Pro Camera, performance, looks. Cons Battery drain and heating up issues",PLEASE SAVE YOUR MONEY AND DON'T BUY THIS PHONE.,No earphone jack,Good phone,Not recommended at all,4
"Vivo V17 (Midnight Ocean, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange…",Super. Phone,Display and slimmer phone,First impression - Superb Phone,Awesome...,nice product,Very bad,About phone,Price is little higher as the processor relatively old.,Very bad experience with the purchase and from Vivo customer care,Best smartphone of 2020 Jan,1
"Redmi Note 8 (Moonlight White, 4GB RAM, 64GB Storage)",Superb ...😘,Disappointing,Worth the price....A must buy for everyone with budget of around 10k-13k,moonlight is love,Amazing phone,Excellent phone under 10K,18w fast charger is best inside the box.,Nice product,⚠️ Don't buy! Good on paper but too bad in performance ⚠️,Excellent,2
"Redmi Note 9 Pro (Interstellar Black, 6GB RAM, 128GB Storage)",PLZZ read this before Wasting your money.,osm mobile phone,Superb Phn and you can go for it.,Good But Not As Expected,Faulty product delivered by Amazon,Gaming beast,Not worthy nor upto exp from mi,Very nice protect super,Waste of money,Looks premium but service isn't good,3
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage)",Dont buy.. after 10 to.15 mins gaming phone lagging too much,Overall a good phone 👌,Not good,Just Read before buying. My opinion,Worst,Loll !! I am the first to review this 🤩👇,Not good like other phones of xiaomi.,Everything nice but only body vibration problem due to plastic back,Pathetic service by Amazon and worst quality mobile,Good phone..,2
"Redmi Note 9 (Aqua Green, 6GB RAM 128GB Storage)",Dont buy.. after 10 to.15 mins gaming phone lagging too much,Overall a good phone 👌,Not good,Just Read before buying. My opinion,Worst,Loll !! I am the first to review this 🤩👇,Not good like other phones of xiaomi.,Everything nice but only body vibration problem due to plastic back,Pathetic service by Amazon and worst quality mobile,Good phone..,2
"OPPO A5 2020 (Dazzling White, 3GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange…",Good opportunity for oppo lovers to upgrade,Best budget phone with all features,Good,Good Phone at this price range..by Oppo,Come and collect,Slow charging and hand free is not available.,Waste of money .,Not recommended,"Best with exchange, don't buy without exchange",Very nice,4
"Redmi 9 (Carbon Black, 4GB RAM, 128GB Storage)",DONT BUY THIS MOBILE .,"Redmi 9 hhoo, 9, 9🤩, 9, changed mind",Awesome,Value for money,Best in budget,Think it before buy,Average Buy,Everything is fine except camera which only works good in sun light,best product,Looking mobile best feature,5
"Samsung Galaxy M01 (Red, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange…",Very chipper quality,Most practical phone in this price...less radiation..Handy...,Like this phone,Perfect Size.,Good for average use and good option in no Chinese mobile,Best smart phone normal usage,Good Phone at 9k,Waste of money,Brand is Brand,Cheated by Amazon,2
"Redmi Note 9 (Pebble Grey, 6GB RAM 128GB Storage)",Dont buy.. after 10 to.15 mins gaming phone lagging too much,Overall a good phone 👌,Not good,Just Read before buying. My opinion,Worst,Loll !! I am the first to review this 🤩👇,Not good like other phones of xiaomi.,Everything nice but only body vibration problem due to plastic back,Pathetic service by Amazon and worst quality mobile,Good phone..,2
"Redmi Note 9 Pro Max (Glacier White, 6GB RAM, 64GB Storage)",Really amazing phone,No reason to buy Redmi Note 9 Pro Max,Worst performance... Waste of money.,Nyc looking smartphone,Wifi issue beware,It's a great phone!,Awesome Camera.,Not satisfied,Amazon is Best,Ear speak not working... Camera quality worst...,3
"Samsung Galaxy M01 Core (Red, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange…",#samsunghitsbullseye,Best smartphone at ₹5500,sell more this product,Don't buy this phone,Phone went dead within 10 minutes of delivery,Very good smart phone,"Samsung Galaxy M01 Core (Blue, 2GB RAM, 32GB)-A Cute Phone with Latest Android 10 and Crisp Display",Don't expect much.....,Go for any phone but not this if u don't want to regret wasting ur money,5 Star Phone In this Price of 6499 .,3
"Redmi 9 Prime (Matte Black, 4GB RAM, 128GB Storage)",Scam,Oscem,redmi 9 prime,Best in class @9999,Good,🤔prime.. prime🤭🤭🤭ᴄʰᵃⁿᵍᵉᵈ🙄🙄,No to Redmi,Binod.,Not a Great Phone at 12000,Amazon didn't gave buy now option,3
"Redmi Note 8 (Space Black, 4GB RAM, 64GB Storage)",Superb ...😘,Disappointing,Worth the price....A must buy for everyone with budget of around 10k-13k,moonlight is love,Amazing phone,Excellent phone under 10K,18w fast charger is best inside the box.,Nice product,⚠️ Don't buy! Good on paper but too bad in performance ⚠️,Excellent,2
OnePlus 8 Pro (Glacial Green 12GB RAM+256GB Storage),Be cautious,Display Issue,Phone heats a lot,Having display issues,Dont buy it.Display is not upto the mark,A great feature rich phone but has Display issues.,"Screen issues,Heating issues,Bad front camera",Superb,Major know issue,Worst phone,3
"Redmi Note 9 (Arctic White, 4GB RAM 128GB Storage)",Dont buy.. after 10 to.15 mins gaming phone lagging too much,Overall a good phone 👌,Not good,Just Read before buying. My opinion,Worst,Loll !! I am the first to review this 🤩👇,Not good like other phones of xiaomi.,Everything nice but only body vibration problem due to plastic back,Pathetic service by Amazon and worst quality mobile,Good phone..,2
"Redmi 9A (Midnight Black, 3Gb Ram, 32Gb Storage)",Bad camera and made in China,Simply excellent. Read complete review written after my 30 days of experience,Poor processor basic UI also lagging,Compass is not working,Please 🙏 don't Buy. Cheap product from Mi👎,Nice mobile at best price,Useless phone,Very cheap product,Amazing,nice product,1
"OnePlus 7T Pro (Haze Blue, 8GB RAM, Fluid AMOLED Display, 256GB Storage, 4085mAH…",The Best Smartphone of 2019 | The Flagship King,Its a complete Beast !!! Awesome mobile,A QHD Beauty of a Performance Beast ...,Kindly Update the Camera Quality with next software updates,Perfect combination of OnePlus 7T and 7Pro,Only Oneplus,Buy at your RISK...!!!,very cheap product don't buy it from amazon. they will make you fool. waste of money product.,do anyone get Acko screen protection for 1 year?,No 3.5 jack and overpriced.,2
